Code,Description
M27.63,post-osseointegration mechanical failure of dental implant
M27.69,other endosseous dental implant failure
M27.8,other specified diseases of jaws
M27.9,"disease of jaws, unspecified"
M30.0,polyarteritis nodosa
M30.1,polyarteritis with lung involvement [churg-strauss]
M30.2,juvenile polyarteritis
M30.3,mucocutaneous lymph node syndrome [kawasaki]
M30.8,other conditions related to polyarteritis nodosa
M31.0,hypersensitivity angiitis
M31.10,"thrombotic microangiopathy, unspecified"
M31.11,hematopoietic stem cell transplantation-associated thrombotic microangiopathy [hsct-tma]
M31.19,other thrombotic microangiopathy
M31.2,lethal midline granuloma
M31.30,wegener's granulomatosis without renal involvement
M31.31,wegener's granulomatosis with renal involvement
M31.4,aortic arch syndrome [takayasu]
M31.5,giant cell arteritis with polymyalgia rheumatica
M31.6,other giant cell arteritis
M31.7,microscopic polyangiitis
M31.8,other specified necrotizing vasculopathies
M31.9,"necrotizing vasculopathy, unspecified"
M32.0,drug-induced systemic lupus erythematosus
M32.10,"systemic lupus erythematosus, organ or system involvement unspecified"
M32.11,endocarditis in systemic lupus erythematosus
M32.12,pericarditis in systemic lupus erythematosus
M32.13,lung involvement in systemic lupus erythematosus
M32.14,glomerular disease in systemic lupus erythematosus
M32.15,tubulo-interstitial nephropathy in systemic lupus erythematosus
M32.19,other organ or system involvement in systemic lupus erythematosus
M32.8,other forms of systemic lupus erythematosus
M32.9,"systemic lupus erythematosus, unspecified"
M33.00,"juvenile dermatomyositis, organ involvement unspecified"
M33.01,juvenile dermatomyositis with respiratory involvement
M33.02,juvenile dermatomyositis with myopathy
M33.03,juvenile dermatomyositis without myopathy
M33.09,juvenile dermatomyositis with other organ involvement
M33.10,"other dermatomyositis, organ involvement unspecified"
M33.11,other dermatomyositis with respiratory involvement
M33.12,other dermatomyositis with myopathy
M33.13,other dermatomyositis without myopathy
M33.19,other dermatomyositis with other organ involvement
M33.20,"polymyositis, organ involvement unspecified"
M33.21,polymyositis with respiratory involvement
M33.22,polymyositis with myopathy
M33.29,polymyositis with other organ involvement
M33.90,"dermatopolymyositis, unspecified, organ involvement unspecified"
M33.91,"dermatopolymyositis, unspecified with respiratory involvement"
M33.92,"dermatopolymyositis, unspecified with myopathy"
M33.93,"dermatopolymyositis, unspecified without myopathy"
M33.99,"dermatopolymyositis, unspecified with other organ involvement"
M34.0,progressive systemic sclerosis
M34.1,cr(e)st syndrome
M34.2,systemic sclerosis induced by drug and chemical
M34.81,systemic sclerosis with lung involvement
M34.82,systemic sclerosis with myopathy
M34.83,systemic sclerosis with polyneuropathy
M34.89,other systemic sclerosis
M34.9,"systemic sclerosis, unspecified"
M35.00,"sjogren syndrome, unspecified"
M35.01,sjogren syndrome with keratoconjunctivitis
M35.02,sjogren syndrome with lung involvement
M35.03,sjogren syndrome with myopathy
M35.04,sjogren syndrome with tubulo-interstitial nephropathy
M35.05,sjogren syndrome with inflammatory arthritis
M35.06,sjogren syndrome with peripheral nervous system involvement
M35.07,sjogren syndrome with central nervous system involvement
M35.08,sjogren syndrome with gastrointestinal involvement
M35.0A,sjogren syndrome with glomerular disease
M35.0B,sjogren syndrome with vasculitis
M35.0C,sjogren syndrome with dental involvement
M35.09,sjogren syndrome with other organ involvement
M35.1,other overlap syndromes
M35.2,behcet's disease
M35.3,polymyalgia rheumatica
M35.4,diffuse (eosinophilic) fasciitis
M35.5,multifocal fibrosclerosis
M35.6,relapsing panniculitis [weber-christian]
M35.7,hypermobility syndrome
M35.81,multisystem inflammatory syndrome
M35.89,other specified systemic involvement of connective tissue
M35.9,"systemic involvement of connective tissue, unspecified"
M36.0,dermato(poly)myositis in neoplastic disease
M36.1,arthropathy in neoplastic disease
M36.2,hemophilic arthropathy
M36.3,arthropathy in other blood disorders
M36.4,arthropathy in hypersensitivity reactions classified elsewhere
M36.8,systemic disorders of connective tissue in other diseases classified elsewhere
M40.00,"postural kyphosis, site unspecified"
M40.03,"postural kyphosis, cervicothoracic region"
M40.04,"postural kyphosis, thoracic region"
M40.05,"postural kyphosis, thoracolumbar region"
M40.10,"other secondary kyphosis, site unspecified"
M40.12,"other secondary kyphosis, cervical region"
M40.13,"other secondary kyphosis, cervicothoracic region"
M40.14,"other secondary kyphosis, thoracic region"
M40.15,"other secondary kyphosis, thoracolumbar region"
M40.202,"unspecified kyphosis, cervical region"
M40.203,"unspecified kyphosis, cervicothoracic region"
M40.204,"unspecified kyphosis, thoracic region"
M40.205,"unspecified kyphosis, thoracolumbar region"
M40.209,"unspecified kyphosis, site unspecified"
M40.292,"other kyphosis, cervical region"
M40.293,"other kyphosis, cervicothoracic region"
M40.294,"other kyphosis, thoracic region"
M40.295,"other kyphosis, thoracolumbar region"
M40.299,"other kyphosis, site unspecified"
M40.30,"flatback syndrome, site unspecified"
M40.35,"flatback syndrome, thoracolumbar region"
M40.36,"flatback syndrome, lumbar region"
M40.37,"flatback syndrome, lumbosacral region"
M40.40,"postural lordosis, site unspecified"
M40.45,"postural lordosis, thoracolumbar region"
M40.46,"postural lordosis, lumbar region"
M40.47,"postural lordosis, lumbosacral region"
M40.50,"lordosis, unspecified, site unspecified"
M40.55,"lordosis, unspecified, thoracolumbar region"
M40.56,"lordosis, unspecified, lumbar region"
M40.57,"lordosis, unspecified, lumbosacral region"
M41.00,"infantile idiopathic scoliosis, site unspecified"
M41.02,"infantile idiopathic scoliosis, cervical region"
M41.03,"infantile idiopathic scoliosis, cervicothoracic region"
M41.04,"infantile idiopathic scoliosis, thoracic region"
M41.05,"infantile idiopathic scoliosis, thoracolumbar region"
M41.06,"infantile idiopathic scoliosis, lumbar region"
M41.07,"infantile idiopathic scoliosis, lumbosacral region"
M41.08,"infantile idiopathic scoliosis, sacral and sacrococcygeal region"
M41.112,"juvenile idiopathic scoliosis, cervical region"
M41.113,"juvenile idiopathic scoliosis, cervicothoracic region"
M41.114,"juvenile idiopathic scoliosis, thoracic region"
M41.115,"juvenile idiopathic scoliosis, thoracolumbar region"
M41.116,"juvenile idiopathic scoliosis, lumbar region"
M41.117,"juvenile idiopathic scoliosis, lumbosacral region"
M41.119,"juvenile idiopathic scoliosis, site unspecified"
M41.122,"adolescent idiopathic scoliosis, cervical region"
M41.123,"adolescent idiopathic scoliosis, cervicothoracic region"
M41.124,"adolescent idiopathic scoliosis, thoracic region"
M41.125,"adolescent idiopathic scoliosis, thoracolumbar region"
M41.126,"adolescent idiopathic scoliosis, lumbar region"
M41.127,"adolescent idiopathic scoliosis, lumbosacral region"
M41.129,"adolescent idiopathic scoliosis, site unspecified"
M41.20,"other idiopathic scoliosis, site unspecified"
M41.22,"other idiopathic scoliosis, cervical region"
M41.23,"other idiopathic scoliosis, cervicothoracic region"
M41.24,"other idiopathic scoliosis, thoracic region"
M41.25,"other idiopathic scoliosis, thoracolumbar region"
M41.26,"other idiopathic scoliosis, lumbar region"
M41.27,"other idiopathic scoliosis, lumbosacral region"
M41.30,"thoracogenic scoliosis, site unspecified"
M41.34,"thoracogenic scoliosis, thoracic region"
M41.35,"thoracogenic scoliosis, thoracolumbar region"
M41.40,"neuromuscular scoliosis, site unspecified"
M41.41,"neuromuscular scoliosis, occipito-atlanto-axial region"
M41.42,"neuromuscular scoliosis, cervical region"
M41.43,"neuromuscular scoliosis, cervicothoracic region"
M41.44,"neuromuscular scoliosis, thoracic region"
M41.45,"neuromuscular scoliosis, thoracolumbar region"
M41.46,"neuromuscular scoliosis, lumbar region"
M41.47,"neuromuscular scoliosis, lumbosacral region"
M41.50,"other secondary scoliosis, site unspecified"
M41.52,"other secondary scoliosis, cervical region"
M41.53,"other secondary scoliosis, cervicothoracic region"
M41.54,"other secondary scoliosis, thoracic region"
M41.55,"other secondary scoliosis, thoracolumbar region"
M41.56,"other secondary scoliosis, lumbar region"
M41.57,"other secondary scoliosis, lumbosacral region"
M41.80,"other forms of scoliosis, site unspecified"
M41.82,"other forms of scoliosis, cervical region"
M41.83,"other forms of scoliosis, cervicothoracic region"
M41.84,"other forms of scoliosis, thoracic region"
M41.85,"other forms of scoliosis, thoracolumbar region"
M41.86,"other forms of scoliosis, lumbar region"
M41.87,"other forms of scoliosis, lumbosacral region"
M41.9,"scoliosis, unspecified"
M42.00,"juvenile osteochondrosis of spine, site unspecified"
M42.01,"juvenile osteochondrosis of spine, occipito-atlanto-axial region"
M42.02,"juvenile osteochondrosis of spine, cervical region"
M42.03,"juvenile osteochondrosis of spine, cervicothoracic region"
M42.04,"juvenile osteochondrosis of spine, thoracic region"
M42.05,"juvenile osteochondrosis of spine, thoracolumbar region"
M42.06,"juvenile osteochondrosis of spine, lumbar region"
M42.07,"juvenile osteochondrosis of spine, lumbosacral region"
M42.08,"juvenile osteochondrosis of spine, sacral and sacrococcygeal region"
M42.09,"juvenile osteochondrosis of spine, multiple sites in spine"
M42.10,"adult osteochondrosis of spine, site unspecified"
M42.11,"adult osteochondrosis of spine, occipito-atlanto-axial region"
M42.12,"adult osteochondrosis of spine, cervical region"
M42.13,"adult osteochondrosis of spine, cervicothoracic region"
M42.14,"adult osteochondrosis of spine, thoracic region"
M42.15,"adult osteochondrosis of spine, thoracolumbar region"
M42.16,"adult osteochondrosis of spine, lumbar region"
M42.17,"adult osteochondrosis of spine, lumbosacral region"
M42.18,"adult osteochondrosis of spine, sacral and sacrococcygeal region"
M42.19,"adult osteochondrosis of spine, multiple sites in spine"
M42.9,"spinal osteochondrosis, unspecified"
M43.00,"spondylolysis, site unspecified"
M43.01,"spondylolysis, occipito-atlanto-axial region"
M43.02,"spondylolysis, cervical region"
M43.03,"spondylolysis, cervicothoracic region"
M43.04,"spondylolysis, thoracic region"
M43.05,"spondylolysis, thoracolumbar region"
M43.06,"spondylolysis, lumbar region"
M43.07,"spondylolysis, lumbosacral region"
M43.08,"spondylolysis, sacral and sacrococcygeal region"
M43.09,"spondylolysis, multiple sites in spine"
M43.10,"spondylolisthesis, site unspecified"
M43.11,"spondylolisthesis, occipito-atlanto-axial region"
M43.12,"spondylolisthesis, cervical region"
M43.13,"spondylolisthesis, cervicothoracic region"
M43.14,"spondylolisthesis, thoracic region"
M43.15,"spondylolisthesis, thoracolumbar region"
M43.16,"spondylolisthesis, lumbar region"
M43.17,"spondylolisthesis, lumbosacral region"
M43.18,"spondylolisthesis, sacral and sacrococcygeal region"
M43.19,"spondylolisthesis, multiple sites in spine"
M43.20,"fusion of spine, site unspecified"
M43.21,"fusion of spine, occipito-atlanto-axial region"
M43.22,"fusion of spine, cervical region"
M43.23,"fusion of spine, cervicothoracic region"
M43.24,"fusion of spine, thoracic region"
M43.25,"fusion of spine, thoracolumbar region"
M43.26,"fusion of spine, lumbar region"
M43.27,"fusion of spine, lumbosacral region"
M43.28,"fusion of spine, sacral and sacrococcygeal region"
M43.3,recurrent atlantoaxial dislocation with myelopathy
M43.4,other recurrent atlantoaxial dislocation
M43.5X2,"other recurrent vertebral dislocation, cervical region"
M43.5X3,"other recurrent vertebral dislocation, cervicothoracic region"
M43.5X4,"other recurrent vertebral dislocation, thoracic region"
M43.5X5,"other recurrent vertebral dislocation, thoracolumbar region"
M43.5X6,"other recurrent vertebral dislocation, lumbar region"
M43.5X7,"other recurrent vertebral dislocation, lumbosacral region"
M43.5X8,"other recurrent vertebral dislocation, sacral and sacrococcygeal region"
M43.5X9,"other recurrent vertebral dislocation, site unspecified"
M43.6,torticollis
M43.8X1,"other specified deforming dorsopathies, occipito-atlanto-axial region"
M43.8X2,"other specified deforming dorsopathies, cervical region"
M43.8X3,"other specified deforming dorsopathies, cervicothoracic region"
M43.8X4,"other specified deforming dorsopathies, thoracic region"
M43.8X5,"other specified deforming dorsopathies, thoracolumbar region"
M43.8X6,"other specified deforming dorsopathies, lumbar region"
M43.8X7,"other specified deforming dorsopathies, lumbosacral region"
M43.8X8,"other specified deforming dorsopathies, sacral and sacrococcygeal region"
M43.8X9,"other specified deforming dorsopathies, site unspecified"
M43.9,"deforming dorsopathy, unspecified"
M45.0,ankylosing spondylitis of multiple sites in spine
M45.1,ankylosing spondylitis of occipito-atlanto-axial region
M45.2,ankylosing spondylitis of cervical region
M45.3,ankylosing spondylitis of cervicothoracic region
M45.4,ankylosing spondylitis of thoracic region
M45.5,ankylosing spondylitis of thoracolumbar region
M45.6,ankylosing spondylitis lumbar region
M45.7,ankylosing spondylitis of lumbosacral region
M45.8,ankylosing spondylitis sacral and sacrococcygeal region
M45.9,ankylosing spondylitis of unspecified sites in spine
M45.A0,non-radiographic axial spondyloarthritis of unspecified sites in spine
M45.A1,non-radiographic axial spondyloarthritis of occipito-atlanto-axial region
M45.A2,non-radiographic axial spondyloarthritis of cervical region
M45.A3,non-radiographic axial spondyloarthritis of cervicothoracic region
M45.A4,non-radiographic axial spondyloarthritis of thoracic region
M45.A5,non-radiographic axial spondyloarthritis of thoracolumbar region
M45.A6,non-radiographic axial spondyloarthritis of lumbar region
M45.A7,non-radiographic axial spondyloarthritis of lumbosacral region
M45.A8,non-radiographic axial spondyloarthritis of sacral and sacrococcygeal region
M45.AB,non-radiographic axial spondyloarthritis of multiple sites in spine
M46.00,"spinal enthesopathy, site unspecified"
M46.01,"spinal enthesopathy, occipito-atlanto-axial region"
M46.02,"spinal enthesopathy, cervical region"
M46.03,"spinal enthesopathy, cervicothoracic region"
M46.04,"spinal enthesopathy, thoracic region"
M46.05,"spinal enthesopathy, thoracolumbar region"
M46.06,"spinal enthesopathy, lumbar region"
M46.07,"spinal enthesopathy, lumbosacral region"
M46.08,"spinal enthesopathy, sacral and sacrococcygeal region"
M46.09,"spinal enthesopathy, multiple sites in spine"
M46.1,"sacroiliitis, not elsewhere classified"
M46.20,"osteomyelitis of vertebra, site unspecified"
M46.21,"osteomyelitis of vertebra, occipito-atlanto-axial region"
M46.22,"osteomyelitis of vertebra, cervical region"
M46.23,"osteomyelitis of vertebra, cervicothoracic region"
M46.24,"osteomyelitis of vertebra, thoracic region"
M46.25,"osteomyelitis of vertebra, thoracolumbar region"
M46.26,"osteomyelitis of vertebra, lumbar region"
M46.27,"osteomyelitis of vertebra, lumbosacral region"
M46.28,"osteomyelitis of vertebra, sacral and sacrococcygeal region"
M46.30,"infection of intervertebral disc (pyogenic), site unspecified"
M46.31,"infection of intervertebral disc (pyogenic), occipito-atlanto-axial region"
M46.32,"infection of intervertebral disc (pyogenic), cervical region"
M46.33,"infection of intervertebral disc (pyogenic), cervicothoracic region"
M46.34,"infection of intervertebral disc (pyogenic), thoracic region"
M46.35,"infection of intervertebral disc (pyogenic), thoracolumbar region"
M46.36,"infection of intervertebral disc (pyogenic), lumbar region"
M46.37,"infection of intervertebral disc (pyogenic), lumbosacral region"
M46.38,"infection of intervertebral disc (pyogenic), sacral and sacrococcygeal region"
M46.39,"infection of intervertebral disc (pyogenic), multiple sites in spine"
M46.40,"discitis, unspecified, site unspecified"
M46.41,"discitis, unspecified, occipito-atlanto-axial region"
M46.42,"discitis, unspecified, cervical region"
M46.43,"discitis, unspecified, cervicothoracic region"
M46.44,"discitis, unspecified, thoracic region"
M46.45,"discitis, unspecified, thoracolumbar region"
M46.46,"discitis, unspecified, lumbar region"
M46.47,"discitis, unspecified, lumbosacral region"
M46.48,"discitis, unspecified, sacral and sacrococcygeal region"
M46.49,"discitis, unspecified, multiple sites in spine"
M46.50,"other infective spondylopathies, site unspecified"
M46.51,"other infective spondylopathies, occipito-atlanto-axial region"
M46.52,"other infective spondylopathies, cervical region"
M46.53,"other infective spondylopathies, cervicothoracic region"
M46.54,"other infective spondylopathies, thoracic region"
M46.55,"other infective spondylopathies, thoracolumbar region"
M46.56,"other infective spondylopathies, lumbar region"
M46.57,"other infective spondylopathies, lumbosacral region"
M46.58,"other infective spondylopathies, sacral and sacrococcygeal region"
M46.59,"other infective spondylopathies, multiple sites in spine"
M46.80,"other specified inflammatory spondylopathies, site unspecified"
M46.81,"other specified inflammatory spondylopathies, occipito-atlanto-axial region"
M46.82,"other specified inflammatory spondylopathies, cervical region"
M46.83,"other specified inflammatory spondylopathies, cervicothoracic region"
M46.84,"other specified inflammatory spondylopathies, thoracic region"
M46.85,"other specified inflammatory spondylopathies, thoracolumbar region"
M46.86,"other specified inflammatory spondylopathies, lumbar region"
M46.87,"other specified inflammatory spondylopathies, lumbosacral region"
M46.88,"other specified inflammatory spondylopathies, sacral and sacrococcygeal region"
M46.89,"other specified inflammatory spondylopathies, multiple sites in spine"
M46.90,"unspecified inflammatory spondylopathy, site unspecified"
M46.91,"unspecified inflammatory spondylopathy, occipito-atlanto-axial region"
M46.92,"unspecified inflammatory spondylopathy, cervical region"
M46.93,"unspecified inflammatory spondylopathy, cervicothoracic region"
M46.94,"unspecified inflammatory spondylopathy, thoracic region"
M46.95,"unspecified inflammatory spondylopathy, thoracolumbar region"
M46.96,"unspecified inflammatory spondylopathy, lumbar region"
M46.97,"unspecified inflammatory spondylopathy, lumbosacral region"
M46.98,"unspecified inflammatory spondylopathy, sacral and sacrococcygeal region"
M46.99,"unspecified inflammatory spondylopathy, multiple sites in spine"
M47.011,"anterior spinal artery compression syndromes, occipito-atlanto-axial region"
M47.012,"anterior spinal artery compression syndromes, cervical region"
M47.013,"anterior spinal artery compression syndromes, cervicothoracic region"
M47.014,"anterior spinal artery compression syndromes, thoracic region"
M47.015,"anterior spinal artery compression syndromes, thoracolumbar region"
M47.016,"anterior spinal artery compression syndromes, lumbar region"
M47.019,"anterior spinal artery compression syndromes, site unspecified"
M47.021,"vertebral artery compression syndromes, occipito-atlanto-axial region"
M47.022,"vertebral artery compression syndromes, cervical region"
M47.029,"vertebral artery compression syndromes, site unspecified"
M47.10,"other spondylosis with myelopathy, site unspecified"
M47.11,"other spondylosis with myelopathy, occipito-atlanto-axial region"
M47.12,"other spondylosis with myelopathy, cervical region"
M47.13,"other spondylosis with myelopathy, cervicothoracic region"
M47.14,"other spondylosis with myelopathy, thoracic region"
M47.15,"other spondylosis with myelopathy, thoracolumbar region"
M47.16,"other spondylosis with myelopathy, lumbar region"
M47.20,"other spondylosis with radiculopathy, site unspecified"
M47.21,"other spondylosis with radiculopathy, occipito-atlanto-axial region"
M47.22,"other spondylosis with radiculopathy, cervical region"
M47.23,"other spondylosis with radiculopathy, cervicothoracic region"
M47.24,"other spondylosis with radiculopathy, thoracic region"
M47.25,"other spondylosis with radiculopathy, thoracolumbar region"
M47.26,"other spondylosis with radiculopathy, lumbar region"
M47.27,"other spondylosis with radiculopathy, lumbosacral region"
M47.28,"other spondylosis with radiculopathy, sacral and sacrococcygeal region"
M47.811,"spondylosis without myelopathy or radiculopathy, occipito-atlanto-axial region"
M47.812,"spondylosis without myelopathy or radiculopathy, cervical region"
M47.813,"spondylosis without myelopathy or radiculopathy, cervicothoracic region"
M47.814,"spondylosis without myelopathy or radiculopathy, thoracic region"
M47.815,"spondylosis without myelopathy or radiculopathy, thoracolumbar region"
M47.816,"spondylosis without myelopathy or radiculopathy, lumbar region"
M47.817,"spondylosis without myelopathy or radiculopathy, lumbosacral region"
M47.818,"spondylosis without myelopathy or radiculopathy, sacral and sacrococcygeal region"
M47.819,"spondylosis without myelopathy or radiculopathy, site unspecified"
M47.891,"other spondylosis, occipito-atlanto-axial region"
M47.892,"other spondylosis, cervical region"
M47.893,"other spondylosis, cervicothoracic region"
M47.894,"other spondylosis, thoracic region"
M47.895,"other spondylosis, thoracolumbar region"
M47.896,"other spondylosis, lumbar region"
M47.897,"other spondylosis, lumbosacral region"
M47.898,"other spondylosis, sacral and sacrococcygeal region"
M47.899,"other spondylosis, site unspecified"
M47.9,"spondylosis, unspecified"
M48.00,"spinal stenosis, site unspecified"
M48.01,"spinal stenosis, occipito-atlanto-axial region"
M48.02,"spinal stenosis, cervical region"
M48.03,"spinal stenosis, cervicothoracic region"
M48.04,"spinal stenosis, thoracic region"
M48.05,"spinal stenosis, thoracolumbar region"
M48.061,"spinal stenosis, lumbar region without neurogenic claudication"
M48.062,"spinal stenosis, lumbar region with neurogenic claudication"
M48.07,"spinal stenosis, lumbosacral region"
M48.08,"spinal stenosis, sacral and sacrococcygeal region"
M48.10,"ankylosing hyperostosis [forestier], site unspecified"
M48.11,"ankylosing hyperostosis [forestier], occipito-atlanto-axial region"
M48.12,"ankylosing hyperostosis [forestier], cervical region"
M48.13,"ankylosing hyperostosis [forestier], cervicothoracic region"
M48.14,"ankylosing hyperostosis [forestier], thoracic region"
M48.15,"ankylosing hyperostosis [forestier], thoracolumbar region"
M48.16,"ankylosing hyperostosis [forestier], lumbar region"
M48.17,"ankylosing hyperostosis [forestier], lumbosacral region"
M48.18,"ankylosing hyperostosis [forestier], sacral and sacrococcygeal region"
M48.19,"ankylosing hyperostosis [forestier], multiple sites in spine"
M48.20,"kissing spine, site unspecified"
M48.21,"kissing spine, occipito-atlanto-axial region"
M48.22,"kissing spine, cervical region"
M48.23,"kissing spine, cervicothoracic region"
M48.24,"kissing spine, thoracic region"
M48.25,"kissing spine, thoracolumbar region"
M48.26,"kissing spine, lumbar region"
M48.27,"kissing spine, lumbosacral region"
M48.30,"traumatic spondylopathy, site unspecified"
M48.31,"traumatic spondylopathy, occipito-atlanto-axial region"
M48.32,"traumatic spondylopathy, cervical region"
M48.33,"traumatic spondylopathy, cervicothoracic region"
M48.34,"traumatic spondylopathy, thoracic region"
M48.35,"traumatic spondylopathy, thoracolumbar region"
M48.36,"traumatic spondylopathy, lumbar region"
M48.37,"traumatic spondylopathy, lumbosacral region"
M48.38,"traumatic spondylopathy, sacral and sacrococcygeal region"
M48.8X1,"other specified spondylopathies, occipito-atlanto-axial region"
M48.8X2,"other specified spondylopathies, cervical region"
M48.8X3,"other specified spondylopathies, cervicothoracic region"
M48.8X4,"other specified spondylopathies, thoracic region"
M48.8X5,"other specified spondylopathies, thoracolumbar region"
M48.8X6,"other specified spondylopathies, lumbar region"
M48.8X7,"other specified spondylopathies, lumbosacral region"
M48.8X8,"other specified spondylopathies, sacral and sacrococcygeal region"
M48.8X9,"other specified spondylopathies, site unspecified"
M48.9,"spondylopathy, unspecified"
M49.80,"spondylopathy in diseases classified elsewhere, site unspecified"
M49.81,"spondylopathy in diseases classified elsewhere, occipito-atlanto-axial region"
M49.82,"spondylopathy in diseases classified elsewhere, cervical region"
M49.83,"spondylopathy in diseases classified elsewhere, cervicothoracic region"
M49.84,"spondylopathy in diseases classified elsewhere, thoracic region"
M49.85,"spondylopathy in diseases classified elsewhere, thoracolumbar region"
M49.86,"spondylopathy in diseases classified elsewhere, lumbar region"
M49.87,"spondylopathy in diseases classified elsewhere, lumbosacral region"
M49.88,"spondylopathy in diseases classified elsewhere, sacral and sacrococcygeal region"
M49.89,"spondylopathy in diseases classified elsewhere, multiple sites in spine"
M50.00,"cervical disc disorder with myelopathy, unspecified cervical region"
M50.01,"cervical disc disorder with myelopathy, high cervical region"
M50.020,"cervical disc disorder with myelopathy, mid-cervical region, unspecified level"
M50.021,cervical disc disorder at c4-c5 level with myelopathy
M50.022,cervical disc disorder at c5-c6 level with myelopathy
M50.023,cervical disc disorder at c6-c7 level with myelopathy
M50.03,"cervical disc disorder with myelopathy, cervicothoracic region"
M50.10,"cervical disc disorder with radiculopathy, unspecified cervical region"
M50.11,"cervical disc disorder with radiculopathy, high cervical region"
M50.120,"mid-cervical disc disorder, unspecified level"
M50.121,cervical disc disorder at c4-c5 level with radiculopathy
M50.122,cervical disc disorder at c5-c6 level with radiculopathy
M50.123,cervical disc disorder at c6-c7 level with radiculopathy
M50.13,"cervical disc disorder with radiculopathy, cervicothoracic region"
M50.20,"other cervical disc displacement, unspecified cervical region"
M50.21,"other cervical disc displacement, high cervical region"
M50.220,"other cervical disc displacement, mid-cervical region, unspecified level"
M50.221,other cervical disc displacement at c4-c5 level
M50.222,other cervical disc displacement at c5-c6 level
M50.223,other cervical disc displacement at c6-c7 level
M50.23,"other cervical disc displacement, cervicothoracic region"
M50.30,"other cervical disc degeneration, unspecified cervical region"
M50.31,"other cervical disc degeneration, high cervical region"
M50.320,"other cervical disc degeneration, mid-cervical region, unspecified level"
M50.321,other cervical disc degeneration at c4-c5 level
M50.322,other cervical disc degeneration at c5-c6 level
M50.323,other cervical disc degeneration at c6-c7 level
M50.33,"other cervical disc degeneration, cervicothoracic region"
M50.80,"other cervical disc disorders, unspecified cervical region"
M50.81,"other cervical disc disorders, high cervical region"
M50.820,"other cervical disc disorders, mid-cervical region, unspecified level"
M50.821,other cervical disc disorders at c4-c5 level
M50.822,other cervical disc disorders at c5-c6 level
M50.823,other cervical disc disorders at c6-c7 level
M50.83,"other cervical disc disorders, cervicothoracic region"
M50.90,"cervical disc disorder, unspecified, unspecified cervical region"
M50.91,"cervical disc disorder, unspecified, high cervical region"
M50.920,"unspecified cervical disc disorder, mid-cervical region, unspecified level"
M50.921,unspecified cervical disc disorder at c4-c5 level
M50.922,unspecified cervical disc disorder at c5-c6 level
M50.923,unspecified cervical disc disorder at c6-c7 level
M50.93,"cervical disc disorder, unspecified, cervicothoracic region"
M51.04,"intervertebral disc disorders with myelopathy, thoracic region"
M51.05,"intervertebral disc disorders with myelopathy, thoracolumbar region"
M51.06,"intervertebral disc disorders with myelopathy, lumbar region"
M51.14,"intervertebral disc disorders with radiculopathy, thoracic region"
M51.15,"intervertebral disc disorders with radiculopathy, thoracolumbar region"
M51.16,"intervertebral disc disorders with radiculopathy, lumbar region"
M51.17,"intervertebral disc disorders with radiculopathy, lumbosacral region"
M51.24,"other intervertebral disc displacement, thoracic region"
M51.25,"other intervertebral disc displacement, thoracolumbar region"
M51.26,"other intervertebral disc displacement, lumbar region"
M51.27,"other intervertebral disc displacement, lumbosacral region"
M51.34,"other intervertebral disc degeneration, thoracic region"
M51.35,"other intervertebral disc degeneration, thoracolumbar region"
M51.36,"other intervertebral disc degeneration, lumbar region"
M51.37,"other intervertebral disc degeneration, lumbosacral region"
M51.44,"schmorl's nodes, thoracic region"
M51.45,"schmorl's nodes, thoracolumbar region"
M51.46,"schmorl's nodes, lumbar region"
M51.47,"schmorl's nodes, lumbosacral region"
M51.84,"other intervertebral disc disorders, thoracic region"
M51.85,"other intervertebral disc disorders, thoracolumbar region"
M51.86,"other intervertebral disc disorders, lumbar region"
M51.87,"other intervertebral disc disorders, lumbosacral region"
M51.9,"unspecified thoracic, thoracolumbar and lumbosacral intervertebral disc disorder"
M51.A0,"intervertebral annulus fibrosus defect, lumbar region, unspecified size"
M51.A1,"intervertebral annulus fibrosus defect, small, lumbar region"
M51.A2,"intervertebral annulus fibrosus defect, large, lumbar region"
M51.A3,"intervertebral annulus fibrosus defect, lumbosacral region, unspecified size"
M51.A4,"intervertebral annulus fibrosus defect, small, lumbosacral region"
M51.A5,"intervertebral annulus fibrosus defect, large, lumbosacral region"
M53.0,cervicocranial syndrome
M53.1,cervicobrachial syndrome
M53.2X1,"spinal instabilities, occipito-atlanto-axial region"
M53.2X2,"spinal instabilities, cervical region"
M53.2X3,"spinal instabilities, cervicothoracic region"
M53.2X4,"spinal instabilities, thoracic region"
M53.2X5,"spinal instabilities, thoracolumbar region"
M53.2X6,"spinal instabilities, lumbar region"
M53.2X7,"spinal instabilities, lumbosacral region"
M53.2X8,"spinal instabilities, sacral and sacrococcygeal region"
M53.2X9,"spinal instabilities, site unspecified"
M53.3,"sacrococcygeal disorders, not elsewhere classified"
M53.80,"other specified dorsopathies, site unspecified"
M53.81,"other specified dorsopathies, occipito-atlanto-axial region"
M53.82,"other specified dorsopathies, cervical region"
M53.83,"other specified dorsopathies, cervicothoracic region"
M53.84,"other specified dorsopathies, thoracic region"
M53.85,"other specified dorsopathies, thoracolumbar region"
M53.86,"other specified dorsopathies, lumbar region"
M53.87,"other specified dorsopathies, lumbosacral region"
M53.88,"other specified dorsopathies, sacral and sacrococcygeal region"
M53.9,"dorsopathy, unspecified"
M54.00,"panniculitis affecting regions of neck and back, site unspecified"
